英語A　教科書　語彙7
celebration	お祝い
celebrate+こと	ことを祝う
congratulate + 人 +　on こと	人を祝う
make a decision	決定する
court 	法廷
be based on 	基づく
exclusive	独占的な
legal	法律の
ownership	所有権
valid	著作権
earn 	稼ぐ
royalties	印税
expire 	期限が切れる
judge 	を判断する
entertainment	娯楽
parade	祝賀パレード
It wasn't until ...that s + v 	になってはじめてだ
charge (人) 金額	金額を請求する
make a reservation	予約をする
reserve	を予約する
available	利用可能な
dessert	デザート
staff	従業員
Valentine's Day 	バレンタインデー
in the 1950s	1950年代に
advertise	宣伝する
obligation	義務
not any  more 	もはやない
confectionery	菓子屋
custom	風習
personally	個人的見解では
to be honest	正直に言うと
New Year's Day	元日
Coming of Age Day 	成人の日
Bean Throwing Festival	節分
National Foundation Day	建国記念日
Doll Festival	ひな祭り
Children's Day	子供の日

