LEAP 0761-0878 英語→日本語	
critical	重大な
serious	深刻な
complex	複雑な(7字)
complicated	複雑な(11字)
delicate	繊細な
plain	明白な(p-)
obvious	明白な(o-)
remarkable	注目すべき
outstanding	傑出した
various	さまざまな
diverse	多様な
sort	種
fancy	高級の
marvelous	驚くべき
fabulous	とても素敵な
active	積極的な
positive	前向きな
pure	純粋な
steady	着実な
flexible	柔軟な
ripe	熟した
mature	成熟した
stable	安定した
negative	否定的な
vague	曖昧な
weird	変な
rough	粗い
severe	厳しい
passive	受動的な
vain	無駄に
fake	偽の
risky	危険な
absurd	ばかげた
odd	奇妙な
contrast	対比
valid	妥当な
available	手に入る
casual	気楽な
rare	珍しい
practical	現実的な
brand-new	新品の
rapid	急速な
urgent	緊急の
sharp	急激な
calm	落ち着いた
shallow	浅い
bare	むき出しの
naked	裸の
independent	独立した
tense	張り詰めた
broad	幅広い
narrow	狭い
vacant	空いている
vivid	鮮明な
mutual	相互の
awkward	ぎこちない
objective	客観的な
manual	手を使う
alike	似ている
tend	～する傾向にある
deserve	～に値する
fragment	破片
ease	簡単さ
range	範囲
scale	規模
unique	特有の
particular	ある特定の
general	一般的な
ordinary	平凡な
typical	典型的な
account	占める
calculate	～を計算する
measure	～を測る
split	～を割る
volume	容積
proportion	比率
dozen	ダース
amount	量
mass	大量
shortage	不足
enormous	莫大な
spare	余分な
arrange	～を手配する
adapt	適応する
match	～と調和する
fit	に合う
emergency	緊急事態
occasion	場合
circumstance	状況
incident	出来事
current	最新の
temporary	一時的な
permanent	永久的な
previous	前の
former	前者
annual	年に一度の
contemporary	現代の
lately	最近
immediately	すぐに
supply	～を供給する
replace	～に取って代わる
exchange	～を交換する
substitute	代わりに～を用いる
submit	を提出する
alternative	代わりのもの
deliver	～を配達する
enclose	～を同封する
envelope	封筒
trick	いたずら
load	荷
content	中身
routine	日課
household	所帯
good	商品
luxury	高級
credit	クレジットカード
questionnaire	アンケート
reservation	予約
