英語A　語彙 
（人が）ーするのに時間がかかる	It takes 人 時間 to do
するのに時間を費やす	spend time doing
ふらつく、棒っとして過ごす、時間をつぶす	hang out
BよりもAを好む	prefer A to B
を勧める	recommend
を提出する	submit
大を小に分割する	divide 大 into 小
practical	実際の、実用的な
not only A but B	AだけでなくBも
teenager	10代の若者
assignment	課題、仕事、任務、
on time	時間通りに
unfortunately	不幸にも
チップ、アドバイス、密告	tip
を用意する	prepare
に集中する、ピントがあう	foucu on
休憩、中断、破損、決別		a berak
余暇	leisure
放課後	after school
AかBいずれか	either A or B
好んで単独行動をする人	loner
実を言うと	to tell the truth
協会、連合、連想、関連性	association
について議論する	have discussions about
留学する	study abroad
買い物をする	do some shopping
小説家	novelist
に熱中している	be crazy about
冗談だろ	You can't be serious.
文学作品	literature
経営、管理	management
経済学、経済情勢	economics
物理学	physics
情報科学	computer science
を除いては	except
週末	weekend
平日	weekday
給料	salary
平均の、平均値	average
従業員	employee
休暇を取る	take a vacation
連続して	in a row
休暇、休日	days off
同僚	colleague
スウェーデン	Sweden
有給休暇	paid vacation
個人の、個人的な、私的な	personal
に出席する	attend
葬儀、葬式	funeral
に引っ越す	move
経済	economy
生産的な	economy
勤務中に、取り組んで	at work
先進国	developed country
祝祭日	national holiday
実際のところ、事実	in fact
最近の、近頃の	recent
調査	survey
未満の	less than
年１回の、一年間の	annual
めったにない	rarely
を増す、強める	add to
このごろ、近頃、最近では	nowadays
就職活動中の	job hunting
を探す、手に入れようとする	seek
カラオケに行く	go to karaoke
映画を見る	see a movie
疲れ果てた、使い切った	exhausted
1日中	all day
を組み立てる	put together
元気を取り戻した気分だ	feel recharged
理想的な	ideal
観光する	sightsee
面白そうだね	That sounds like fun
伝説の、伝統的な	traditional
現代の	modern
借用語、外来語	loanword
格闘技	martial art
誇りに思う、誇るべき	proud
発音	pronunciation
を採用する、取り入れる	adopt
を意味する、表す	mean
リーダー、指揮者	leader
と関係のある、関連した	be related to
に寄与する、貢献する	contribute to
語彙	vocabulary
を紹介する、導入する	introduce
最近	recently
世界中で、世界に広がった	worldwide
10代の若者	teenager
焼肉、焼肉の	barbecue
グリル	grill
広がる、広げる	spread
のあちらこちらに	throughout
に申し込む	apply for
給料、賃貸、報酬	pay
同じ	the same
いつか、そのうち	someday
客、顧客	customer
丁重に、ていねいに	politely
その代わりに	instead
研修生、見習い	intern
翻訳	translation
をかいぜんする	improve
特定のテーマをもつ	themed
はどうですか	How about
装飾、室内装飾	decor
王族	royalty
典型的な、代表的な	typical
種類、形態	form
くだらない、ふざけた	silly
を勧める	recommend
