英語重要表現3	
かなり多くの	quite a few
を延期する	put of
今までのところ	so far
もし～がなかったならば	without
を扱う	deal in
に似合う	go with
～しても無駄だ	It is no use
の世話をする	look after
は言うまでもなく	not to mention
ありえない	out of the question
まさに～しようとしている	on the point of
~より優れている	is superior to
～だとわかる	turned out to
説明する	acounting for
~を引き起こす	brought about
～に追いつく	catch up with
only = 	no more than
as much as = 	no less than
at most =	not more than
at least = 	not less than
~をよく知っている	familiar with
~によく知られている	familiar to
~にあたる	falls on
~につかれた	be tired of
彼にはよくあることだ	As is often the case with him
~するかわりに	instead of
Not only but	as well as
as well as	Not only but also
~する限り	as far as I know
~に精通していた	was at horne in
