前期中間試験 こせっと	
頼る	rely
さがす	seek
外す、逃す	miss
変換する、転換する	convert
こする	rub
つなぐ、加わる	join
伝導する、指揮する	conduct
絶縁する	insulate
助成金、聞き入れる	grand
引き金、きっかけ	trigger
契約、契約する、収縮する	contract
部品、要素	component
車両、乗り物	vehicle
運賃	fare
負担、緊張、重圧、緊張させる	strain
救急車	ambulance
非常事態	emergency
技能、工芸、船舶	craft
航空機	aircraft
着陸	landing
乗客	passenger
通路	aisle
潮	tide
締める、留める	fasten
製造する、製造	manufacture
実演する、明らかにする	demonstarate
調整する	investigate
耐える、産む	bear
想像する	imagine
納得させる、確信させる	convince
疑う、容疑者	suspect
逮捕する、逮捕	arrest
得る、利得	gain
示す、表示する	indicate
関連付ける、関係する	associate
準備する、用意する	prepare
利用する	utilize
伸ばす、広げる、広がる	extend
拡大する	enlarge
輸入する、輸入	import
輸出する、輸出	export
生き返らせる、生き返る	revive
国内の、家庭の	domestic
きつい、しっかりとした、きつく、しっかりと	tight
ゆるんだ、だらしない	loose
急な、険しい	steep
残酷な、悲惨な	cruel
醜い、不快な	ugly
固い、断固した、商社、会社	firm
珍しい、希少な	rare
古代の、昔の	ancient
墓、重大な、深刻な	grave
区画、切断面	section
一服	dose
進行、進歩、進む、進歩する	progress
法廷、コート	court
広報活動	campaign
文書、記録、記録する	document
署名	signature
余白、余裕	margin
台本	script
依頼人	client
写真、撮影する	photograph
肖像	portrait
景色、風景	landscape
証明書、免許状	certificate
方略、戦略	strategy
集合体	cluster
群衆、群がる	crowd
治療法	therapy
公開討論会	forum
聴衆、観衆	audience
秘密、秘訣、秘密の	secret
奴隷、子機	slave
等価の、同等の、同等物	equivalent
目に見える	visible
明るい	bright
薄暗い、ぼんやりした、暗くする、暗くなる	dim
細長い、わずかな	slender
全体の、すべての	entire
の価値がある、価値	worth
不可欠の、本質的な	essential
動作する、行う、上演する	perform
集中する、集中させる、濃縮する	concentrate
仮定する、想定する	assume
意図する	intend
確認する	confirm
定義する	define
送信する	transmit
付ける、添付する	attach
引き付ける	attract
反発する	repel
範囲、視野	scope
錯覚、幻想	illusion
注意、注目	attention
声明、陣述	statement
重力、引力、重大さ	gravity
現象	phenomenon
接着剤、糊、つける	glue
計画、任務	mission
情熱,激情	passion
候補	candidate
段階、位相	phase
状況、立場	situation
かけら、破片	fragment
過失、欠点	fault
危険	danger
好意、引き立て	favor
頂上、頂点	summit
困難、難しさ	difficulty
収穫、産出、産出する	yield
規定、調整	regulation
伝統	trandition
明らかな	obvious
青白い、薄い	pale
激しい、厳しい	severe
広い	broad
狭い	narrow
放送する	broadcast
手に入れる、獲得する	obtain
不思議に思う、かなと思う、不思議	wonder
叫ぶ、大声で言う、叫び声	scream
みなす、心遣い	regard
採用する	adopt
保護する、保存する	preserve
抽出する、抜粋する、抽出物	extract
代用する、置き換える、代わり、補欠	substitute
変換する、変形させる	transform
粉々にする	smash
正の、肯定的な	positive
効率がよい、効率的な	efficient
生命の、極めて重要な	vital
外側の、外の	outer
球、天体	sphere
