COCET1401-1450 日本語->英語	
洪水	flood
干ばつ	drought
基礎	foundation
顧客	customer
ささやく	whisper
刺激する	stimulate
割り当てる	assign
促進する	promote
辞任する	resign
縛る	bind
言及する	mention
遅らせる	delay
無視する	ignore
薦める	recommend
配達する	deliver
起こる	arise
貢献する	contribute
尊敬する	respect
侮辱する	insult
破る	violate
困惑させる	puzzle
丸太	log
管	vessel
鉢	bowl
甲板	deck
小屋	cabin
錨	anchor
株式	stock
崩壊	collapse
糸	thread
針	needle
印象	impression
通り道	path
支店	branch
全体で	altogether
時計回りに	clockwise
垂直に	upright
それぞれ	respectively
かかわらず	regardless
優しい	gentle
合法的な	legal
膨大な	vast
熱の	thermal
全体的な	overall
性の	sexual
危機的な	critical
近くの	nearby
決定的な	crucial
前の	prior
上級の	senior
