2021 英語3A　Lesson7 語彙    
お祝い	celebration
ことを祝う(  +こと)	celebrate
人を祝う(   + 人  +こと)	congratulate on
決定する(3)	make a decision
法廷、裁判所	court 
～に基づく(3)	be based on
独占的な、唯一の(=only)	exclusive
法律の、合法的な	legal
所有権	ownership
有効な、妥当な	valid
著作権	copyright
お金などを稼ぐ、得る	earn
印税	royalties
期限が切れる、満了する	expire 
を判断する、審査する	judge
娯楽、楽しみ	entertainment
祝賀パレード、行列	parade
金額を請求する	charge
予約をする(3)	make a reservation
を予約する	reserve
利用可能な、空いている	available
デザート	dessert
従業員	staff
を公告する、宣伝する	abvertise
義務、義理	obligation
もはや～ない(3)	not any more
甘い菓子類	confectionery
風習、しきたり	custom
個人的見解では	personally
正直に言うと(3)	to be honest
元日(3)	New Year's Day
成人の日(4)	Coming of Age Day
節分(3)	Bean Throwing Festival
建国記念日(3)	National Foundation Day
ひな祭り(2)	Doll Festival

