âpåÍèdóvï\åª Part2 1-10	
( ) ( ) the record, you had a checkup one month ago.	According to
You are ( ) ( ) a gentleman.	anything but
Please accept this ( ) ( ) ( ) ( ) my gratitude.	as a token
( ) ( ) yesterday, he didn't submit his report.	As of
I feel in love with you ( ) a glance.	at
You can change your password ( ) ( ).	at will
She ignored me ( ) ( ) ( ) ( ).	all of a sudden
You should ( ) ( ) him ( ) the delay.	apologize to for
I cannot ( ) ( ) you on this point.	agree with
Sometimes you look ( ) ( ) you ( ) a teacher.	as if were
