英語重要表現 Part2 46-75	
Christmas () () a Friday this year.	falls on
We can () () () each other.	get along with
Handle () ()	with Care
() () () anything on the table.	Help yourself to
I () () () () () the company.	have nothing to do with
Father sometimes () me () my homework.	helps with
I just come here to () you () the fact.	inform of
"I tried to attract her attention, (but) () ()."	in vain
The lawyer () () the defendant's innocence.	insisted on
"() () () the bad weather, we went on a hiking."	In spite of
"() () () myself, I sent a messenger."	Instead of going
You had better go and thank her () ().	in person
"To know () () (), and to teach () ()."	is one thing is another
"() () the look of the sky, it may rain soon."	Judging from
I () () () () do such a foolish thing.	know better than to
The company () () hundreds of workers.	laid off
This road () () a small town ten miles away.	leads to
I () () () () () get up at five o'clock every morning.	make it a rule to
Please () () () ().	make yourself at home
Don窶冲 () () () others by their appearances.	make fun of
() () you () () he is to blame. = He () () () you is to blame.	Not only but also as well as
I () coffee () tea. = I like coffee better than tea.	prefer to
Can I () () the book with a book coupon?	pay for
"He went to Tokyo, where he () () () a hotel for a week."	put up at
I () my mom () a certificate of gratitude. = I () a certificate of gratitude () my mom.	presented with presented to
Illness () me () () to school.	prevented from coming
() () using a smartphone in this room.	Refrain from
He () watching TV () a waste of time.	regards as
The boxing match () () a victory for the champion.	resulted in
The man () the old woman () her money.	robbed of
