横に並んで	side by side
～するのはどうですか？	How about -ing
なんだけどね	though 
AにBを思い出させる	remind A of B
起こる	take place
晩餐	dinner
patty = 	a dinner
するのに忙しい	be busy doing
改装	renovation
thruの正式名称	through
遅い朝食	brunch
通路側の席	aisle seat
が原因で	due to
乗客	passenger
往復の	round trip
週末	weekend
によれば	according to
をありがとう	Thank you
孤独な	lonely
仲良しな	friendly
すてきな	lovely
タイムリーな	timely
ありそうな	likely
決してない	never
ほとんどない	hardly
めったにない(r)	rarely
めったにない(s)	seldom
したらすぐに	as soon as
今やなので	now that 
する場合は	in case
する限り	as long as
たとえしても	even is 
まるでように	as if
物事に感謝する	appreciate
のために	on account of
はいうまでもない	It goes witiout saying that
生き字引	walking dictionary
もうこれ以上ない	no longer
つづる	spell
呪文	spelling
(本人の意志関係なしに)させる	make
(本人がしたがることを)させる	let 
同僚(cow)	coworker
同僚(col)	colleague
静かな	quiet
全く、かなり	quite 
を気にする	mind
を楽しむ	enjoy
を諦める	give up
をさける	avoid
を終える	finish
逃れる	escape
を延期する	postpone
したことを認める	adimit
買い物客	customer
乗客	passenger
宿泊客	guest
訪問客	visitor
依頼人	client
観客	spectator
旅行客	tourist
平日	weekday
AにBを求める	ask A for B
バスに乗り遅れる	miss a bus
バスに間に合う	catch a bus
時間がかかる	take
お金がかかる	cost
フリーダイヤル	tall-free number
料金所	tall
