2021 英語３B　アンダーライン＆メモ！！	
売り切れにする	be sold out
途中	on the way
集中する	get together
直接に	be related to
一日中	all day
ようこそ	welcome to
今日はこれで終わります	That's all for today
一日休みます	take a day off
都合がつく	make it 
うちあう	meet up
はどうですか	How about
必ず～する	make sure
集まる	get together
o'clock = 	of clock
単語を調べる	look up the word
～を実行する	carry out
ええ、どうぞ	Go ahead
どのくらいの時間	How long
どのくらいの距離	How far
同感です	agree with
ゴーカート	go-cart
ジェットコースター	a roller coaster
ところで	by the way
じゃまになっている	in the way
～することに決める	decided to
～の様に思われる	It seems
時間に間に合う	make it in time
～のために	because of
正直に言うと	to be honest
～興味がある	be interested in
～に間に合うように	in time for
～にもかかわらず(3)	in spite of
～にもかかわらず(1)	despite
～と関係がある	be related to
ID=	identification
～に加工される	made into
民主	democracy
AI＝	artificial intelligence
そうしよう！！！	why not
どうしたのですか(5)	What's the matter with you?
花粉アレルギーがあるんだ(5)	I’m suffering from hay fever.
何か私にできることはありますか(8)	Is there anything I can do for you?
全く同感です(6)	That’s what I want to say.
教えてくれてありがとう(5)	Thanks for letting me know.
