Step-by-Step TOEIC Unit10 Economy & Management 英語→日本語	
industry	産業
stock	株式
budget	予算
estimate	見積もり
outlook	見通し
promotion	昇進
salary	給料
depression	不景気
employee	従業員
strike	ストライキ
negotiate	交渉する
retire	退職する
recess	閉会
trend	傾向
fashion	流行
attitude	態度
outcome	結果
outbreak	発生
economics	経済学
economy	経済
economist	経済学者
decorate	を飾る
develop	を発達させる
approach	に近づく
be required to do	～することが求められている
present モノ to 人	を発表する
anxious	心配している
eager	しきりに～したがっている
ambitious	野心的な
remind 人 of 内容	人に内容を思い出させる
rise	上がる
raise	を上げる
on sale	販売されて
for sale	売り物として
invent	を発明する
ration	配給
reletive	親戚
relationship	関係
relation	つながり
affect	～に影響する
effect	影響
effort	努力
in charge of	～を管理している
take off	を脱ぐ
put off 予定	予定を延期する
step out of	～から出る
van	小型トラック
vehicle	乗り物
sidewalk	歩道
available	利用可能な
be likely to do	～しそうである
be willing to do	～する気がある
equipment	装置
frankly speaking	素直に言って
in a position to do	～する立場にある
purchase	を購入する
someone else	誰か他に
significantly	著しく
merchandise	商品
appropriate	適切な
provide 人 with モノ	人にモノを供給する
take 事案 into account	事案を考慮に入れる
in advance	前もって
in progress	進行中の
