Step-by-Step TOEIC Unit10 Economy & Management 日本語→英語	
産業	industry
株式	stock
予算	budget
見積もり	estimate
見通し	outlook
昇進	promotion
給料	salary
不景気	depression
従業員	employee
ストライキ	strike
交渉する	negotiate
退職する	retire
閉会	recess
傾向	trend
流行	fashion
態度	attitude
結果	outcome
発生	outbreak
経済学	economics
経済	economy
経済学者	economist
を飾る	decorate
を発達させる	develop
に近づく	approach
～することが求められている	be required to do
を発表する	present モノ to 人
心配している	anxious
しきりに～したがっている	eager
野心的な	ambitious
人に内容を思い出させる	remind 人 of 内容
上がる	rise
を上げる	raise
販売されて	on sale
売り物として	for sale
を発明する	invent
配給	ration
親戚	reletive
関係	relationship
つながり	relation
～に影響する	affect
影響	effect
努力	effort
～を管理している	in charge of
を脱ぐ	take off
予定を延期する	put off 予定
～から出る	step out of
小型トラック	van
乗り物	vehicle
歩道	sidewalk
利用可能な	available
～しそうである	be likely to do
～する気がある	be willing to do
装置	equipment
素直に言って	frankly speaking
～する立場にある	in a position to do
を購入する	purchase
誰か他に	someone else
著しく	significantly
商品	merchandise
適切な	appropriate
人にモノを供給する	provide 人 with モノ
事案を考慮に入れる	take 事案 into account
前もって	in advance
進行中の	in progress
