Step-by-Step TOEIC Unit 6 英語->日本語  
roof	屋根
chopstick	箸
dish	料理
neighborhood	近所
refrigerator	冷蔵庫
cook	を作る
relative	親戚
frying pan	フライパン
bake	焼く
marriage	結婚
stove	コンロ
sink	流し
walk	を散歩させる
show up	現れる
most	ほとんどの
foolish	馬鹿馬鹿しい
match	合う
polite	礼儀正しい
steal	盗む
public	公共の
own	所有している
suburb	郊外
crowded	混雑した
tend to do	する傾向がある
behind schedule	予定を遅れて
increase	増加する
in order to do	するために
meet the demand	需要を満たす
perform	演奏する
theater	劇場
audience	観客
instrument	器具
hand in hand	手をつないで
fold one's arms	腕を組む
be supposed to do	することになっている
clap one's hands	拍手する
shake hands with	と握手をする
organize	を催す
daughter	娘
evaluate	の良し悪しを評価する
strength	力
weakness	弱さ
on a regular basis	定期的に
record	記録
advertising	広告
cost	費用
keep	を保管する
consulting	コンサルティング
conduct	行う
current trend	現在の傾向
manufacturing industry	製造業界
respondent	回答者
survey	調査
newcomer	新人
major	大きな
original belief	もともとの考え
recruit	新入社員
seek	を手に入れようとする
position	地位
finding	調査結果
indicate	指し示す
correct	正しい
section	部署
intern	研修生
attach	を添付する
deadline	締切
application	応募
grateful	ありがたく思う
comment	意見
matter	事柄
