Step-by-Step TOEIC Unit 6 日本語->英語  
屋根	roof
箸	chopstick
料理	dish
近所	neighborhood
冷蔵庫	refrigerator
を作る	cook
親戚	relative
フライパン	frying pan
焼く	bake
結婚	marriage
コンロ	stove
流し	sink
を散歩させる	walk
現れる	show up
ほとんどの	most
馬鹿馬鹿しい	foolish
合う	match
礼儀正しい	polite
盗む	steal
公共の	public
所有している	own
郊外	suburb
混雑した	crowded
する傾向がある	tend to do
予定を遅れて	behind schedule
増加する	increase
するために	in order to do
需要を満たす	meet the demand
演奏する	perform
劇場	theater
観客	audience
器具	instrument
手をつないで	hand in hand
腕を組む	fold one's arms
することになっている	be supposed to do
拍手する	clap one's hands
と握手をする	shake hands with
を催す	organize
娘	daughter
の良し悪しを評価する	evaluate
力	strength
弱さ	weakness
定期的に	on a regular basis
記録	record
広告	advertising
費用	cost
を保管する	keep
コンサルティング	consulting
行う	conduct
現在の傾向	current trend
製造業界	manufacturing industry
回答者	respondent
調査	survey
新人	newcomer
大きな	major
もともとの考え	original belief
新入社員	recruit
を手に入れようとする	seek
地位	position
調査結果	finding
指し示す	indicate
正しい	correct
部署	section
研修生	intern
を添付する	attach
締切	deadline
応募	application
ありがたく思う	grateful
意見	comment
事柄	matter
