英語重要表現 Part3 21-100	
ビラ・チラシ a ( )	flyer
腕組みをする (   /   ) one's arms	fold cross
無料で ( ) free / ( ) free of charge	for for
ご参考までに FYI : for your ( )	information
率直に言えば ( ) speaking	Frankly
フライドポテト ( ) fries	French
体重が増える ( ) weight	gain
体重が減る ( ) weight	lose
ガソリンスタンド a ( ) station / a pertol station	gas
職につく (   /   ) a job	get take
結婚する get ( )	married
道に迷う get ( )	lost
破産する ( ) bankrupt	go
豪雨 ( ) rain	heavy
息を殺す (   /   ) one's breath	hold keep
ブラブラして回る hang ( ) / hang around	out
アイスコーヒー ( ) coffee	iced
時間に間に合って ( ) time	in
時間通り ( ) time	on
日記をつける ( ) a dairy	keep
暇をつぶす ( ) time	kill
キーホルダー key ( )	ring
立ち入り禁止 Keep ( ) / Keep Off / No trespassing	Out
卵を産む ( ) an egg	lay
パン一塊 a ( ) of bread	loaf
パン一切れ a ( ) of break	slice
辞書で単語を調べる ( ) up a word in a dictionary	look
面目を失う lose ( )	face
面目を保つ save ( )	face
欠陥車 a ( )	lemon
ノートパソコン a ( ) computer	laptop
お金を儲ける (   /   ) money	make earn
お茶を入れる ( ) tea	make
意味をなす ( ) sense	make
ベッドを整える ( ) the bed	make
生計を立てる (   /   ) one's living	make earn
しかめ面をする (   /   ) a face	make pull
決心する ( ) a decision	make
失敗する ( ) a mistake	make
努力する ( ) an effort	make
重要である ( ) a difference	make
比較する ( ) a comparison	make
予約をする ( ) a reservation	make
約束する ( ) a promise	make
コメントする ( ) a comment	make
クレームをつける make a ( )	complaint
要求を満たす ( ) a demand	meet
電子レンジ a ( ) oven	microwave
一方 on the ( ) hand	other
職務に就いて ( ) duty	on
非番の ( ) duty	off
故障して out of ( )	order
コンセント a wall ( ) / a wall socket	outlet
かくれんぼをする play hide and ( )	seek
靴を磨く ( ) one's shoes	polish
スキンシップ ( ) contact	physical
ビニール袋 a ( ) bag	plastic
ペットボトル a ( ) bottle	plastic
アルバイト a ( ) job	part-time
アルバイトをする ( ) part-time	work
アンケート a ( )	questionnaire
会社を経営する ( ) a company	run
危険を冒す ( / ) a risk	run take
自転車に乗る ( ) a bicycle	ride
ガードマン a security ( )	guard
医者にかかる ( / ) a doctor	see consult
辞書を引く ( / ) a dictionary	use consult
涙を流す ( ) tears	shed
遅かれ早かれ ( ) or later	sooner
ゼロから始める start from ( )	scratch
ステンレス ( ) steel	stainless
実を言うと To tell the ( ),	truth
正直に言うと To be ( ) with you,	honest
さらに悪いことに To make ( ) worse	matters
ある程度 to some ( )	extent
薬を飲む ( ) medicine	take
怒る ( ) offence = ( ) angry	take get
運動をする ( ) exercise	take
試験を受ける ( ) an examination	take
交替でやる ( ) turns	take
避難する ( ) shelter	take
メモを取る ( ) notes	take
嘘をつく ( ) a lie	tell
工事中の ( ) construction	under
サインする write one's ( ) / autograph	signature
モーニングコール a ( ) call	wake-up
