英語3B 後期中間試験 メモ・アンダーライン	
book coupon	図書券
分譲マンション (2つ)	condo condominium
賃貸マンション	cond to rent
前者	the former
後者	the latter
脅して盗む	rob
こっそり盗む	steal
リフォームする (2つ)	remodel renovate
Without	If it had not been for
If it had not been for	Without
m^2	square meter
予定通りに	on schedule
予定より早まって	ahead of schedule
持続可能な開発目標(SDGs)	Sustainable Development Goals
無料で	for nothing
給油以外のサービスがあるガソリンスタンド	service station
〜と結婚する	get married to
所有物	belongings
情報提供者	informant
1件の情報	a piece of information
1枚の紙	a sheet of paper
1きれの紙	a piece of paper
The family (is / are) a large one.	is
The family (is / are) all well.	are
The police (is / are) visiting the school.	are
Any method will do	will be OK
will be OK	Any method will do
〜によれば	According to
今はないけど、昔はたくさんの花があった	There used to be many flowers
〜の前に	in front of
〜する余裕が(金銭的に)ある	can afford to
〜することはできない	There is no
〜に影響を与える	have impact on
賃貸アパート	apartments for rent
〜に属する	belongs to
有益な	informative
〜を始める	Get started on
a number of	many
many	a number of
騒ぐ	make noise
片付ける	tidy up
20分後に	in 20 minutes
メールを送る (2つ)	text email
後者	latter one
(人)を案内する	show you around
締切に間に合う	make the deadline
〜に関する情報	information on
〜を借りる	check out
早朝に	first thing in the morning
