Step-by-Step TOEIC Unit 5 英語->日本語
cellphone	携帯電話
conference	会議
call 人	人に電話する
pay phone	公衆電話
date	日付
attach モノ	モノを取り付ける
answering machine	留守番電話
datail	詳細
notify 人	人に通知する
memorandum	覚え書き
appointment	約束
receive モノ	モノを受け取る
employee	従業員
director	責任者
division	部門
participant	参加者
as you know	知っての通り
international	国際的な
as of now	今現在では
sign up	参加を申し込む
varied	さまざまな
including	を含めて
marketing	マーケティング
R&D	研究開発
M&A	合併吸収
IT	インフォメーションテクノロジー
and so on	...など
sheet	用紙
decide to do	することに決める
ASAP	すぐに
glance at モノ	ちらりと見る
hang up	電話を切る
make bed	ベッドをきちんと整える
interview 人	と面接する
microphone	マイク
landfill	埋め立て地
coast	沿岸
cargo	貨物
I'd be delighter do.	喜んでそうします。
as planned	計画していた通り
rearrange 予定	の予定を組みなおす
the coming Firday	次の金曜日に
anytime	いつでも
call for	を求める
urgent	緊急の
