Step-by-Step TOEIC Unit 5 日本語->英語  
携帯電話	cellphone
会議	conference
人に電話する	call 人
公衆電話	pay phone
日付	date
モノを取り付ける	attach モノ
留守番電話	answering machine
詳細	detail
人に通知する	notify 人
覚え書き	memorandum
約束	appointment
モノを受け取る	receive モノ
従業員	employee
責任者	director
部門	division
参加者	participant
知っての通り	as you know
国際的な	international
今現在では	as of now
参加を申し込む	sign up
さまざまな	varied
を含めて	including
マーケティング	marketing
研究開発	R&D
合併吸収	M&A
インフォメーションテクノロジー	IT
...など	and so on
用紙	sheet
することに決める	decide to do
すぐに	ASAP
ちらりと見る	glance at モノ
電話を切る	hang up
ベッドをきちんと整える	make bed
と面接する	interview 人
マイク	microphone
埋め立て地	landfill
沿岸	coast
貨物	cargo
喜んでそうします。	I'd be delighter do.
計画していた通り	as planned
の予定を組みなおす	rearrange 予定
次の金曜日に	the coming Friday
いつでも	anytime
を求める	call for
緊急の	urgent
