Step-by-Step TOEIC Unit 7 英語->日本語
product	製品
consumer	消費者
order	注文
complaint	苦情
situation	状況
investigate	を調査する
resolution	解決策
deadline	締切
apology	謝罪
refuse	を断る
explain	を説明する
deliver モノ	を配達する
unfortunately	不幸にも
during	の間
transportation	輸送
take モノ back	を引き取る
be unsatisfied with...	に不満で
behavior	態度
I would appreciate it if...	ならばありがたいのですが
exchange 古 with 新	古いものと新しいものを取り換える
ensure	を確認する
enclose	を同封する
receipt	レシート
envelope	封筒
Thank you for...	に対してありがとう
take the trouble to do	わざわざ〜する
purchase	購入する
currently	現在
look into...	を調査する
matter	事案
cause damage	被害を与える
be responsible for	に対して責任がある
in the meantime	それまでの間は
It is our pleasure to do.	喜んで〜します。
stop by	に立ち寄る
arrange	を取り決める
delivery	配達
patience	辛抱
due	提出期限が来て
complete	完全な
approval	同意
Be sure to do	必ず〜する
supervisor	監督者
quantity	量
portable	持ち運びできる
charger	充電器
disappointing	がっかりさせる
excellent	すぐれている
even though s+v	だけれども
replacement	交換
improve	を改良する
come across	偶然出会う
learn	知る
unsatisfactory	不満足な
assistance	助力
repair	を修理する
evaluate	を評価する
apology	謝罪
