Step-by-Step TOEIC Unit 7 日本語->英語  
製品	product
消費者	consumer
注文	order
苦情	complaint
状況	situation
を調査する	investigate
解決策	resolution
締切	deadline
謝罪	apology
を断る	refuse
を説明する	explain
を配達する	deliver
不幸にも	unfortunately
の間	during
輸送	transportation
を引き取る	take back
に不満で	be unsatisfied with
態度	behavior
ならばありがたいのですが	I would appreciate it if
古いものと新しいものを取り換える	exchange with
を確認する	ensure
レシート	receipt
封筒	envelope
に対してありがとう	Thank you for
わざわざ〜する	take the trouble to do
購入する	purchase
現在	currently
を調査する	look into
事案	matter
被害を与える	cause damage
に対して責任がある	be responsible for
それまでの間は	in the meantime
喜んで〜します。	It is our pleasure to do.
に立ち寄る	stop by
を取り決める	arrange
配達	delivery
辛抱	patience
提出期限が来て	due
完全な	complete
同意	approval
必ず〜する	Be sure to do
監督者	supervisor
量	quantity
持ち運びできる	portable
充電器	charger
がっかりさせる	disappointing
すぐれている	excellent
だけれども	event though
交換	replacement
を改良する	improve
偶然出会う	come across
知る	learn
不満足な	unsatisfactory
助力	assistance
を修理する	repair
を評価する	evaluate
謝罪	apology
