Step-by-Step TOEIC Unit 8 英語->日本語
subway	地下鉄
express	急行列車
route map	路線図
terminal	発着場
reserve 切符・部屋・席	を予約する
depart	出発する
arrive at...	に到着する
transfer	乗り替え
traffic	交通量
crowded	混雑した
be bound for	行きの
on time	時間通りに
sign up for コト	事柄に申し込む
baggage	手荷物
15分後に	in 15 minutes
〜することが予想されている	be expected to do
〜することを望む	hope to do
〜と連絡を取る	contact
増える	increase
人が〜するのに時間がかかる	It takes to do
とても〜なのでthat節以下である	so that
人をがっかりさせる	discourage
〜することを決める	decide to do
ストライキに入る	go on strike
のそばに	beside
物売り	vendor
を遅らせる	delay
のため	due to
方法	method
激しく衝突する	crash
until以下となって、やっとthat節以下となる	It is not until that
を修理する	repair
向こう見ずな	recless
幸運にも	fortunately
人を傷つける	hurt
PTA	parent-teacher association
するように提案する	suggest doing
すぐに	immediately
することに同意する	agree to do
万が一に備えて	just in case
残念ながら...する	regret to do
機械の故障	mechanical failure
を調査する	investigate
返金	refund
〜へ進む	make one's way to
起きる	take place
開催地	stay put
を暗示する	venue
そのままでいる	stay put
援助	assistance
宿泊設備	accommodation
人にモノを提供する	provide	with
悪天候	increment weather
破産した	bankrupt
個々の	individual
特権	privilege
戦術	strategy
海外の	overseas
定員	capacity
人に内容を知らせる	inform of
設計図	blueprint
のことで謝る	apologize for
混乱	confusion
見落とし	oversight
検査	inspection
部門	division
上級管理者	senior executive
を確かめる	confirm
手順	procedure
