Step-by-Step TOEIC Unit 8 日本語->英語
地下鉄	subway
急行列車	express
路線図	route map
発着場	terminal
を予約する	reserve
出発する	depart
に到着する	arrive at
乗り換え	transfer
交通量	traffic
混雑した	crowded
行きの	be bound for
時間通りに	on time
事柄に申し込む	sign up for
手荷物	baggage
in 15 minute	15分後に
be expected to do	することが予想されている
hope to do	することを望む
contact	と連絡を取る
increase	増える
It takes to do	人が〜するのに時間がかかる
so that	とても〜なのでthat節以下である
discourage	人をがっかりさせる
decide to do	することを決める
go on strike	ストライキに入る
beside	のそばに
vendor	物売り
delay	を遅らせる
due to	のため
method	方法
crash	激しく衝突する
It is not until that	until以下となって、やっとthat節以下となる
repair	を修理する
recless	向こう見ずな
fortunately	幸運にも
hurt	人を傷つける
parent-teacher association	PTA
suggest doing	するように提案する
immediately	すぐに
agree to do	することに同意する
just in case	万が一に備えて
regret to do	残念ながらする
mechanical failure	機械の故障
investigate	を調査する
refund	返金
make one's way to	〜へ進む
take place	起きる
stay put	開催地
venue	を暗示する
stay put	そのままでいる
assistance	援助
accommodation	宿泊設備
provide with	人にモノを提供する
increment weather	悪天候
bankrupt	破産した
individual	個々の
privilege	特権
strategy	戦術
overseas	海外の
capacity	定員
inform of	人に内容を知らせる
blueprint	設計図
apologize for	のことで謝る
confusion	混乱
oversight	見落とし
inspection	検査
division	部門
senior executive	上級管理者
confirm	を確かめる
procedure	手順
