英語ⅢA補足資料：まぎらわしい単語集+α    
世界経済 global ( )	economy
燃費のいい車 an ( ) car to drive	economical
ハーバード大学で経済学を専攻する major in ( ) at Harvard	economics
新しい経済の理論 a new ( ) theory	economic
常識 common ( )	sense
リサは批判を気にする Lisa is ( ) to criticism.	sensitive
感覚器官 a ( ) organ	sensory
劇的な勝利 a ( ) victory	sensational
これがそれをやるのに分別ある方法というものだ This is a ( ) way of doing it.	sensible
私たちは生き延びなければならない We must stay ( ).	alive
活発な少女 a ( ) girl	lively
生放送 a ( ) broadcast	live
お願いをしてよろしいでしょうか May I ask you a ( )?	favor
私の一番好きな映画は『スクリーム』です My ( ) movie is Scream.	favorite
面接官に好印象を与える make a ( ) impression on an interviewer	favorable
教育の価値 the ( ) of education	value
高価な絵 ( ) paintings	valuable
多額の費用で買う buy at great ( )	expense
きわめて価値があることがわかる prove ( )	invaluable
高い車 an ( ) car	expensive
単純でお金のかからない方法 a simple and ( ) way	inexpensive
今それをしなければ後悔するだろうIf you don't do it now, you'll ( ) it.	regert
痛ましい出来事 a ( ) incident	regrettable
彼のやったことを後悔した He was ( ) for what he had done.	regretful
この点に関して in this ( )	respect
品のよい中年夫婦 a ( ) middle-aged couple	respectable
誰もがお互いに敬意を示していた Everyone was ( ) of each other.	respectful
彼らはそれぞれの分野で成功を収めた They succeeded in their ( ) fields.	respective
記憶に残らない映画 a ( ) movie	forgettable
彼は忘れっぽい性格だ He is ( ).	forgetful
社会の一員 a member of ( )	society
犯罪や不景気などの社会問題 ( ) problems such as crime and depression	social
社交的な人 a ( ) person	sociable
コンピュータを使うことができる be computer ( )	literate
直訳 ( ) translation	literal
文学作品 ( ) works	literary
私どもと同行なさってはいかがですか Would you ( ) going with us?	consider
なんて優しい人なんでしょう It's very ( ) of you	considerate
かなりの努力を要する take quite a ( ) effort	considerable
うまく就職できる have ( ) in getting a job	success
彼の説得に成功する ( ) in persuading him	succeed
試験に合格する be ( ) in the exam	successful
3日間連続で for three ( ) days	succeessive
携帯電話のない生活なんか想像できない I can't ( ) life without a cell phone.	imagine
想像できる最悪のシナリオ the worst ( ) scenario	imaginable
仮想敵国 an ( ) enemy	imaginary
想像性に富んだ小説 an ( ) novel	imaginative
産業発展 ( ) development	industrial
日本人は勤勉だと言われている Japanese are said to be ( ).	industrious
重工業 heavy ( )	industry
歴史の研究 ( ) research	historical
歴史的瞬間 a ( ) moment	historic
歴史の流れを変える change the course of ( )	history
世界レベルのサッカー選手 a world ( ) footbal player	football
よくある例 a ( ) example	classic
クラシック音楽 ( ) music	classical
電話によるご注文を承ります We glady ( ) orders by phone.	accept
郵便局は祝日を除いて月曜から金曜まで開いている The post office is open Monday through Friday ( ) holidays.	except
有名になったことであなたの生活はどう変わりましたか？ How has fame ( ) your life?	affected
まだ時差ボケの影響から脱しきれていない I'm still feeling the ( ) at jet lag.	effects
木に衝突する ( ) into a tree	crash
乱暴なファンが警察と衝突した Violent fans ( ) with police.	clashed
ニンニクをつぶす ( ) garlic	crush
ケアレスミス a ( ) mistake	careless
熱湯にご注意 Be ( ) with the hot water.	careful
一人暮らしは気楽だよ Living alone is ( ).	carefree
網羅的一覧 a ( ) list	comprehensive
彼の英語は理解できる His English is ( ).	comprehensible
あおむけになる ( ) on one's back	lie
サムは赤ん坊をソファに寝かせた Sam ( ) the baby on the sofa.	laid
その女優は年齢を偽っていた The actress ( ) about her age.	lied
ゆっくり幕が上がった The curtain ( ) slowly.	rose
ティムは両手を上げて勝ち誇った Tim ( ) his arms in victory.	raised
生徒にちょっとした助言をする give a piece of ( ) to students	advice
あわてて結婚しないようマイクに忠告する ( ) Mike not to get married in a hurry	advise
彼女はボブと二人きりだった She was ( ) with Bob.	alone
あなたがいなくて寂しい feel ( ) without you	lonely
