英語ⅢA補足資料：まぎらわしい単語集 英語→日本語	
economy	経済
economical	経済的な
economics	経済学
economic	経済の
economist	経済学者
sense	分別
sensor	感知装置
sensitive	敏感な
sensory	感覚に関わる
sensational	衝撃的な
sensible	分別がある
alive	生きて
lively	元気な
live	ライブの
favor	親切な行為
favorite	お気に入りの
favorable	好意的な
value	価値
valuable	金銭的価値が高い
expense	高価な
inexpensive	費用がそれほどかからない
regret	後悔
regrettable	遺憾な
regretful	後悔している
respect	尊敬する
respectable	立派な
respectful	敬意を示す
respective	それぞれの
forget	忘れる
forgettable	忘れても良い
forgetful	忘れっぽい
society	社会
social	社会の
sociable	社交的な
literate	読み書きのできる
literal	文字通りの
literary	文学の
consider	しっかり考える
considerate	思いやりのある
considerable	かなりの
success	成功
succeed	成功する
successful	成功した
successive	引き継ぐ
imagine	を想像する
imaginative	想像性に富んだ
industrial	産業の
industrious	勤勉な
industry	産業
historical	歴史的な
historic	歴史上重要な
history	歴史
class	学級
classic	第一級の
classical	古典派の
accept	を受け入れる
effect	影響
crash	激しく衝突する
clash	対立する
crush	押しつぶす
careless	不注意な
careful	注意深い
carefree	心配事のない
comprehensive	包括的な
comprehensible	理解しやすい
lie	横になる 嘘をつく
lay	を横に寝かす
rise	上がる
raise	を上げる
advice	忠告
advise	人に忠告する
alone	たった一人で
lonely	一人ぼっちの

