TOEICみんなで模擬受験英単語1-26				
cabinet	戸棚	内閣		
take out	～を取り出す			
hang	つり下がる			
【他】post	郵送する			
【名】post	郵便	柱	役職	
ladder	はしご			
wait in a line	列に並ぶ			
put up a tent	テントを張る			
fill	満たす			
passenger	乗客			
【自】float	浮く			
【他】float	～を浮かせる　			
【名】float	浮くもの			
dock	波止場			
【他】stack	積み重ねる			
【名】stack	積み重ね			
【名】garage	自動車修理工場	ガレージ		
【他】store	保存する	蓄える		
【名】store	 商店	小売店		
【他】arrange	並べる	整える		
【自】arrange	用意する			
fold	折る			
install	取り付ける	組み込む		
candy	アメ	チョコレート	キャラメル	
reach	達する	届く	着く	手を伸ばす
set	を設置する			
【自】lean	傾く	寄りかかる		
【他】lean	もたせかける	傾ける		
conference	会議	協議		
one-way ticket	片道切符			
client	依頼人			
assign	割り当てる			
be filled with…	～で満たされる			
storage	保管			
a return ticket	往復切符			
a round-trip ticket	往復切符			
assignment	任務	指示された仕事		
