TOEICみんなで模擬受験英単語1-26 英語->日本語			
How did it go?	それはどうなったの？		
revise	改訂する	見直す	
brochure	パンフレット		
conventional	従来の	伝統的な	
manage	管理する	なんとか～する	運営する
【他】develop	開発する		
【自】develop	発達する		
grocery	食料雑貨		
appointment	予約		
a lost and found section	遺失物取扱所		
half an hour	30分		
cashier	レジ係		
hire	雇う		
depart	出発する		
laptop computer	ノートパソコン		
【他】plug	差し込む	～に栓をする	
【名】plug	栓	プラグ	
box office	劇場などのチケット売り場		
help+(人)+(to)+do	人が～するのを手伝う		
Don't forget to do…	忘れずに～しなさい		
【自】serve	役目をはたす，務める		
【他】serve	料理などを出す	〜に仕える	
reception	歓迎会		
【名】option	選択肢	選択権	
【名】tag	付け札	タグ	
loading dock	荷物の積み下ろし場		
projection	予測	試算	
sale	販売	売上げ	
on sale	割引価格で		
remember to do	忘れずに～する		
