TOEICみんなで模擬受験英単語27-51 日本語->英語		
それはどうなったの？	How did it go?	
改訂する, 見直す	revise	
パンフレット	brochure	
従来の, 伝統的な	conventional	
管理する, なんとか～する, 運営する	manage	
開発する	develop	
発達する	develop	
食料雑貨	grocery	
予約	appointment	
遺失物取扱所	a lost and found section	
30分	half an hour	
レジ係	cashier	
雇う	hire	
出発する	depart	
ノートパソコン	laptop computer	
差し込む, ～に栓をする	plug	
栓, プラグ	plug	
劇場などのチケット売り場	box office	
人が～するのを手伝う	Help someone to do	Help someone do
忘れずに～しなさい	Don't forget to do something	
役目をはたす，務める	serve	
料理などを出す, 〜に仕える	serve	
歓迎会	reception	
選択肢, 選択権	option	
付け札, タグ	tag	
荷物の積み下ろし場	loading dock	
予測, 試算	projection	
販売, 売上げ	sale	
割引価格で	on sale	
忘れずに～する	remember to do	
