TOEICみんなで模擬受験英単語52-76 英語->日本語			
conference	会議	協議	
publish	出版する	発行する	
subscription	定期購読		
article	記事	論文	品物
timely	時機にかなった		
【名】issue	問題点	発行	号
【他】issue	発行する	発表する	
customer	顧客	取引先	
【名】schedule	スケジュール	予定	
【他】schedule	予定する		
base	基礎	基本	
【名】patient	患者		
【形】patient	我慢強い		
admit	認める	〜を入れる	
unit	区画		
available	入手可能な	利用できる	
【名】traffic	交通量	交通	
【形】traffic	交通の		
make it to + 場所	出席する		
recommend	薦める	推薦する	
colleague	同僚	仕事仲間	
【名】contact	接触	連絡	
【他】contact	接触する		
reimburse	返金する		
【他】deposit	預金する	預ける	
【名】deposit	預金	一時金	手付金
sign up for イベント	〜に申し込む		
wellness	健康		
let alone…	〜は言うまでもなく	〜はもちろんのこと	
participate in…	〜に参加する		
【他】complete	完成させる	完了させる　	
【形】complete	完全な		
subscribe to…	〜に定期購読する		
admission	入学	入院	入所
contact ＋人	人に連絡する		
reimburse+(人)+for+品物	人に品物の代金を返金する		
participant	参加者		
