TOEICみんなで模擬受験英単語52-76 日本語->英語	
会議，協議	conference
出版する，発行する	publish
定期購読	subscription
記事，論文，品物	article
時機にかなった	timely
問題点，発行，(雑誌などの)号	issue
発行する，発表する	issue
顧客，取引先	customer
スケジュール，予定	schedule
予定する	schedule
基礎，基本	base
患者	patient
我慢強い	patient
認める，～を入れる	admit
区画	unit
入手可能な，利用できる	available
交通（量）	traffic
交通の	traffic
(場所に）出席する	make it to -
薦める，推薦する	recommend
同僚，仕事仲間	colleague
接触，連絡	contact
接触する	contact
返金する	reimburse
【他】預金する，預ける　【名】預金，一時金，手付金	deposit
(イベントなど）に申し込む	sign up for -
健康	wellness
～は言うまでもなく，～はもちろんのこと	let alone -
～に参加する	participate in -
完成させる，完了させる	complete
完全な	complete
～に定期購読する	subscribe to -
入学，入院，入所	admission
人に連絡する（※with不要）	Contact -
人に品物の代金を返金する	Reimburse - for -
参加者	participant
