TOEICみんなで模擬受験英単語77-101 英語->日本語			
activity	活動	行動	
promote	促進する	昇進させる	
【名】document	文書	記録	
【他】document	記録する		
【名】log	丸太		
【他】log	記録する		
【他】spread	広げる		
【自】spread	広がる		
input	入力	入力する	
technician	技術者		
turn on 機器	電源を入れる		
unless	もし〜なければ		
【他】plug	差し込む	〜に栓をする	
【名】plug	栓	プラグ	
electricity	電気		
outlet	コンセント	排出口	
likely	〜しそうな	ありそうな	
replace	取り替える	取って代わる	
discount	を値引きする	値引き	
right now	ちょうど今		
actress	女優		
【自】perform	動作する		
【他】perform	行う	上演する	
play	演劇		
studio	スタジオ		
pleasure	喜び	娯楽	
career	職業	経歴	キャリア
realize	気付く	認識する	実現する
【名】experience	経験		
【他】experience	経験する		
spreadsheet	集計表	集計算ソフト	
electric	電気の		
replace 古いもの with 新しいもの	古いものを新しいものに取り換える		
actor	俳優		
It's my pleasure.	光栄です。		
