前期期末試験 英語B メモ・アンダーライン
ビデオゲーム	a video game
どこまで	How far
DVD	Digital Video Disc
どのくらいの頻度	How often
どのくらいの間	How long
いくらか	How much
入場料	entrance fee
トランプ	playing cards
切り札	trump
AをBに代える	turn A into B
silent mode	manner mode
manner mode	silent mode
何か短いものをしよう	Let's do something short.
ジェットコースター	roller coaster
進行中	in progress
故障中です	It's out of order
〜する代わりに	Instead of
〜までの道を教えてくれませんか	Could you please tell me the way to
〜の話をする	talk to
ちょうど今	right now
結婚する	get married
とてもすてきな	to die for
俳優	actor
女優	actress
〜に向けて出発する	leaving for
観光バス	A sightseeing bus
昔〜があった	There used to be
今すぐに・直ちに	right away
離陸する	taking off
due to	because of
because of	due to
できるだけ早く旅程を手配します。	I will get my itinerary arranged as soon as possible.
予約する	make a reservation
(女性に対する敬称)(略称)	ma'am
(女性に対する敬称)	madam
(男性に対する敬称)	sir
No more than	only
only	No more than
旅行代理店	travel agent
民家	private house
税関	customs
〜に知られている	be known to
木造	be made of wood
〜で覆われている	be covered with
AのBを手伝う	help A with B
ジュディはスーツケースを修理してもらいました。	Judy had her suitcase repaired.
もうこれ以上	no longer
JV	joint venture
今後はずっと	from now on
生き字引き	walking dictionary
査照	checkup
一目であなたに恋した。	I fell in love with you at a glance.
とにかく	at any rate
我を忘れて喜んだ。	I was beside myself with joy.
成功するかどうかはあなたの努力次第です。	It depends on your efforts whether you will succeed or not.
搭乗する	be on board
機内持ち込み品	carry-on items
〜が続く	, followed by
〜に記入する	fill out
